,Unnamed: 0.1,file,trans,speaker,start,end,duration,dialect,dialect_int,trans_length,trans_int,edu,work,age,edu_int,work_int,age_int
28499,16211,coraal/DCA_audio_2018.10.06/DCA_se1_ag2_f_01_1.wav,THE SIZE OF IT OR,DCA_se1_ag2_f_01,199.3258,200.6594,1.3336000000000183,africa_american,0,17,21 9 6 28 20 10 27 6 28 16 7 28 10 21 28 16 19,High School,Lower Working Class,20 to 29,3,1,1
28506,43068,coraal/DCA_audio_2018.10.06/DCA_se1_ag1_m_02_1.wav,MAN WITH THE MOUSTACHE WAS THERE,DCA_se1_ag1_m_02,1113.6001,1115.2135,1.6133999999999562,africa_american,0,32,14 2 15 28 24 10 21 9 28 21 9 6 28 14 16 22 20 21 2 4 9 6 28 24 2 20 28 21 9 6 19 6,Student_ms,Lower Working Class,-19,8,1,0
28514,55892,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_m_05_1.wav,I HAD MY SHARE,DCA_se2_ag1_m_05,2003.2633,2004.8944,1.631099999999833,africa_american,0,14,10 28 9 2 5 28 14 26 28 20 9 2 19 6,High School,Upper Working Class,-19,3,5,0
28515,32157,coraal/DCA_audio_2018.10.06/DCA_se1_ag3_m_01_1.wav,THAT WAS PURSUING THEM THAT,DCA_se1_ag3_m_01,903.2366,904.5532,1.3165999999999942,africa_american,0,27,21 9 2 21 28 24 2 20 28 17 22 19 20 22 10 15 8 28 21 9 6 14 28 21 9 2 21,High School,Lower Working Class,30 to 50,3,1,2
28519,30557,coraal/DCA_audio_2018.10.06/DCA_se3_ag1_f_03_1.wav,FRED HE TRIED TO GET UP TO SEE BARNEY,DCA_se3_ag1_f_03,650.965,653.1938,2.2287999999999784,africa_american,0,37,7 19 6 5 28 9 6 28 21 19 10 6 5 28 21 16 28 8 6 21 28 22 17 28 21 16 28 20 6 6 28 3 2 19 15 6 26,Student_ms,Lower Middle Class,-19,8,0,0
28523,41173,coraal/DCA_audio_2018.10.06/DCA_se1_ag1_m_07_2.wav,AND SO THE NEXT DAY YOU KNOW YOU SAY WELL YOU KNOW I HAD A GOOD TIME LAST NIGHT YOU KNOW,DCA_se1_ag1_m_07,490.1098,493.8629,3.7531000000000176,africa_american,0,88,2 15 5 28 20 16 28 21 9 6 28 15 6 25 21 28 5 2 26 28 26 16 22 28 12 15 16 24 28 26 16 22 28 20 2 26 28 24 6 13 13 28 26 16 22 28 12 15 16 24 28 10 28 9 2 5 28 2 28 8 16 16 5 28 21 10 14 6 28 13 2 20 21 28 15 10 8 9 21 28 26 16 22 28 12 15 16 24,Student_hs,Lower Working Class,-19,7,1,0
28527,41494,coraal/DCA_audio_2018.10.06/DCA_se3_ag4_m_02_1.wav,I BOUGHT IT PAID CASH FOR IT,DCA_se3_ag4_m_02,1682.4473,1683.9723,1.5249999999998636,africa_american,0,28,10 28 3 16 22 8 9 21 28 10 21 28 17 2 10 5 28 4 2 20 9 28 7 16 19 28 10 21,High School,Lower Middle Class,51+,3,0,3
28528,7920,coraal/DCA_audio_2018.10.06/DCA_se3_ag4_m_01_1.wav,THE ONE I UH IS THE UH,DCA_se3_ag4_m_01,272.9191,274.8226,1.903500000000008,africa_american,0,22,21 9 6 28 16 15 6 28 10 28 22 9 28 10 20 28 21 9 6 28 22 9,College,Unknown,51+,0,2,3
28534,21946,coraal/DCA_audio_2018.10.06/DCA_se3_ag1_f_06_1.wav,SO EVERYBODY WENT OVER TO THE GYM AND WAITED AROUND AND,DCA_se3_ag1_f_06,878.7145,881.2692,2.554699999999912,africa_american,0,55,20 16 28 6 23 6 19 26 3 16 5 26 28 24 6 15 21 28 16 23 6 19 28 21 16 28 21 9 6 28 8 26 14 28 2 15 5 28 24 2 10 21 6 5 28 2 19 16 22 15 5 28 2 15 5,Student_hs,Upper Class,-19,7,3,0
28536,50928,coraal/DCA_audio_2018.10.06/DCA_se3_ag1_m_04_1.wav,CLASS BUSINESS IS TAKEN CARE OF,DCA_se3_ag1_m_04,915.1268,916.7986,1.6717999999999618,africa_american,0,31,4 13 2 20 20 28 3 22 20 10 15 6 20 20 28 10 20 28 21 2 12 6 15 28 4 2 19 6 28 16 7,Student_hs,Lower Middle Class,-19,7,0,0
28542,37512,coraal/DCA_audio_2018.10.06/DCA_se3_ag1_m_05_1.wav,IF I'M'A WIN I'M'A WIN IF I'M'A LOSE I'M'A LOSE YOU KNOW,DCA_se3_ag1_m_05,1464.2972,1466.3258,2.0286000000000968,africa_american,0,56,10 7 28 10 1 14 1 2 28 24 10 15 28 10 1 14 1 2 28 24 10 15 28 10 7 28 10 1 14 1 2 28 13 16 20 6 28 10 1 14 1 2 28 13 16 20 6 28 26 16 22 28 12 15 16 24,Student_hs,Lower Middle Class,-19,7,0,0
28551,15429,coraal/DCA_audio_2018.10.06/DCA_se3_ag2_m_01_1.wav,MATTER OF FACT WE HAVEN'T GONE IN ABOUT A WEEK OR SO BECAUSE REALLY,DCA_se3_ag2_m_01,347.781,350.672,2.8909999999999627,africa_american,0,67,14 2 21 21 6 19 28 16 7 28 7 2 4 21 28 24 6 28 9 2 23 6 15 1 21 28 8 16 15 6 28 10 15 28 2 3 16 22 21 28 2 28 24 6 6 12 28 16 19 28 20 16 28 3 6 4 2 22 20 6 28 19 6 2 13 13 26,Some College,Lower Middle Class,20 to 29,4,0,1
28552,28958,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_f_02_1.wav,AND I THINK I LIKE TO DO THAT,DCA_se2_ag1_f_02,1275.9541,1277.2691,1.3150000000000546,africa_american,0,29,2 15 5 28 10 28 21 9 10 15 12 28 10 28 13 10 12 6 28 21 16 28 5 16 28 21 9 2 21,Student_ms,Upper Working Class,-19,8,5,0
28554,4863,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_f_07_1.wav,DISSOLVED YOU KNOW NO ONE BELIEVES THAT STORY,DCA_se2_ag1_f_07,421.5159,424.0665,2.5506000000000317,africa_american,0,45,5 10 20 20 16 13 23 6 5 28 26 16 22 28 12 15 16 24 28 15 16 28 16 15 6 28 3 6 13 10 6 23 6 20 28 21 9 2 21 28 20 21 16 19 26,Student_hs,Upper Working Class,-19,7,5,0
28556,34258,coraal/DCA_audio_2018.10.06/DCA_se1_ag1_m_04_1.wav,NO I KNOW A BOY SPEAK A LOT OF DIFFERENT LANGUAGES I DON'T KNOW WHAT POLISH IS,DCA_se1_ag1_m_04,933.4732,937.7292,4.255999999999972,africa_american,0,78,15 16 28 10 28 12 15 16 24 28 2 28 3 16 26 28 20 17 6 2 12 28 2 28 13 16 21 28 16 7 28 5 10 7 7 6 19 6 15 21 28 13 2 15 8 22 2 8 6 20 28 10 28 5 16 15 1 21 28 12 15 16 24 28 24 9 2 21 28 17 16 13 10 20 9 28 10 20,Student_ms,Lower Working Class,-19,8,1,0
28558,47590,coraal/DCA_audio_2018.10.06/DCA_se3_ag1_m_03_1.wav,I WOULDN'T GO SO FAR AS TO SAY THAT SHE'S SENILE BUT UH,DCA_se3_ag1_m_03,1088.9983,1091.9908,2.992500000000064,africa_american,0,55,10 28 24 16 22 13 5 15 1 21 28 8 16 28 20 16 28 7 2 19 28 2 20 28 21 16 28 20 2 26 28 21 9 2 21 28 20 9 6 1 20 28 20 6 15 10 13 6 28 3 22 21 28 22 9,Student_hs,Upper Class,-19,7,3,0
28560,15531,coraal/DCA_audio_2018.10.06/DCA_se3_ag3_m_01_1.wav,AND BIG TREES TO HIDE BEHIND BUT IN UH,DCA_se3_ag3_m_01,193.1765,196.0664,2.8898999999999826,africa_american,0,38,2 15 5 28 3 10 8 28 21 19 6 6 20 28 21 16 28 9 10 5 6 28 3 6 9 10 15 5 28 3 22 21 28 10 15 28 22 9,Some College,Upper Middle Class,30 to 50,4,4,2
28561,27236,coraal/DCA_audio_2018.10.06/DCA_se1_ag1_m_02_1.wav,THEN SHE SAY I'M GONNA TAKE YOU TO THE PRINCIPAL RIGHT NOW,DCA_se1_ag1_m_02,1393.6697,1396.1317,2.461999999999989,africa_american,0,58,21 9 6 15 28 20 9 6 28 20 2 26 28 10 1 14 28 8 16 15 15 2 28 21 2 12 6 28 26 16 22 28 21 16 28 21 9 6 28 17 19 10 15 4 10 17 2 13 28 19 10 8 9 21 28 15 16 24,Student_ms,Lower Working Class,-19,8,1,0
28567,58584,coraal/DCA_audio_2018.10.06/DCA_se3_ag1_f_03_1.wav,SHE SAY I'M SORRY,DCA_se3_ag1_f_03,1399.2817,1400.5267,1.2449999999998909,africa_american,0,17,20 9 6 28 20 2 26 28 10 1 14 28 20 16 19 19 26,Student_ms,Lower Middle Class,-19,8,0,0
28571,6328,coraal/DCA_audio_2018.10.06/DCA_se3_ag2_f_03_1.wav,HE TOLD ME ONE TIME,DCA_se3_ag2_f_03,998.2172,999.5415,1.3242999999999938,africa_american,0,19,9 6 28 21 16 13 5 28 14 6 28 16 15 6 28 21 10 14 6,Some College,Lower Middle Class,20 to 29,4,0,1
28572,4446,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_m_02_1.wav,MAYBE UM ONE OR TWO CHINESE BUT,DCA_se2_ag1_m_02,1361.6987,1363.6145,1.9157999999999904,africa_american,0,31,14 2 26 3 6 28 22 14 28 16 15 6 28 16 19 28 21 24 16 28 4 9 10 15 6 20 6 28 3 22 21,Student_hs,Upper Working Class,-19,7,5,0
28573,33841,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_m_02_1.wav,I COULD PICK AN EXAMPLE IN JUNIOR HIGH POSSIBLY UM,DCA_se2_ag1_m_02,1401.2127,1403.7769,2.5642000000000285,africa_american,0,50,10 28 4 16 22 13 5 28 17 10 4 12 28 2 15 28 6 25 2 14 17 13 6 28 10 15 28 11 22 15 10 16 19 28 9 10 8 9 28 17 16 20 20 10 3 13 26 28 22 14,Student_hs,Upper Working Class,-19,7,5,0
28574,15106,coraal/DCA_audio_2018.10.06/DCA_se3_ag1_m_02_2.wav,IF I HAD A STRONG ENOUGH FEELING AGAINST THE DRAFT,DCA_se3_ag1_m_02,522.1772,523.9507,1.7735000000000127,africa_american,0,50,10 7 28 10 28 9 2 5 28 2 28 20 21 19 16 15 8 28 6 15 16 22 8 9 28 7 6 6 13 10 15 8 28 2 8 2 10 15 20 21 28 21 9 6 28 5 19 2 7 21,Student_hs,Upper Middle Class,-19,7,4,0
28577,27781,coraal/DCA_audio_2018.10.06/DCA_se1_ag4_m_02_1.wav,DAMN NIGGERS DAMN NIGGERS,DCA_se1_ag4_m_02,1506.1901,1507.974,1.7838999999999032,africa_american,0,25,5 2 14 15 28 15 10 8 8 6 19 20 28 5 2 14 15 28 15 10 8 8 6 19 20,Some High School,Lower Working Class,51+,5,1,3
28580,40271,coraal/DCA_audio_2018.10.06/DCA_se3_ag3_m_04_1.wav,AND IT WASN'T AS MUCH IN THE COUNTRY AS IT WAS IN THE CITY WHEN I FIRST LEFT,DCA_se3_ag3_m_04,1053.2695,1057.8193,4.549800000000005,africa_american,0,76,2 15 5 28 10 21 28 24 2 20 15 1 21 28 2 20 28 14 22 4 9 28 10 15 28 21 9 6 28 4 16 22 15 21 19 26 28 2 20 28 10 21 28 24 2 20 28 10 15 28 21 9 6 28 4 10 21 26 28 24 9 6 15 28 10 28 7 10 19 20 21 28 13 6 7 21,High School,Lower Middle Class,30 to 50,3,0,2
28594,25083,coraal/DCA_audio_2018.10.06/DCA_se3_ag4_m_02_1.wav,IN FACT HE UH ESCAPED FROM JAIL AND,DCA_se3_ag4_m_02,248.8772,251.9267,3.049500000000023,africa_american,0,35,10 15 28 7 2 4 21 28 9 6 28 22 9 28 6 20 4 2 17 6 5 28 7 19 16 14 28 11 2 10 13 28 2 15 5,High School,Lower Middle Class,51+,3,0,3
28596,46287,coraal/DCA_audio_2018.10.06/DCA_se1_ag1_m_07_1.wav,BUT UH THE TWO MOTHERS THEY UNDERSTOOD LOVE YOU KNOW,DCA_se1_ag1_m_07,507.5778,510.3578,2.7799999999999727,africa_american,0,52,3 22 21 28 22 9 28 21 9 6 28 21 24 16 28 14 16 21 9 6 19 20 28 21 9 6 26 28 22 15 5 6 19 20 21 16 16 5 28 13 16 23 6 28 26 16 22 28 12 15 16 24,Student_hs,Lower Working Class,-19,7,1,0
28600,59255,coraal/DCA_audio_2018.10.06/DCA_se2_ag2_m_02_1.wav,AND AT THE TIME I WAS AT THE AGE OF EIGHTEEN THEN WHEN I MOVED OUT,DCA_se2_ag2_m_02,2138.8634,2142.033,3.1695999999997184,africa_american,0,66,2 15 5 28 2 21 28 21 9 6 28 21 10 14 6 28 10 28 24 2 20 28 2 21 28 21 9 6 28 2 8 6 28 16 7 28 6 10 8 9 21 6 6 15 28 21 9 6 15 28 24 9 6 15 28 10 28 14 16 23 6 5 28 16 22 21,High School,Upper Working Class,20 to 29,3,5,1
28606,15172,coraal/DCA_audio_2018.10.06/DCA_se2_ag2_m_02_1.wav,WELL ANYWAY IT WAS ONE RIGHT OUT HERE IN MARYLAND,DCA_se2_ag2_m_02,265.1973,266.8494,1.6521000000000186,africa_american,0,49,24 6 13 13 28 2 15 26 24 2 26 28 10 21 28 24 2 20 28 16 15 6 28 19 10 8 9 21 28 16 22 21 28 9 6 19 6 28 10 15 28 14 2 19 26 13 2 15 5,High School,Upper Working Class,20 to 29,3,5,1
28607,40115,coraal/DCA_audio_2018.10.06/DCA_se1_ag1_f_01_1.wav,WE WENT TO PLAYGROUND HE FOLLOWED US,DCA_se1_ag1_f_01,410.5511,412.7567,2.205600000000004,africa_american,0,36,24 6 28 24 6 15 21 28 21 16 28 17 13 2 26 8 19 16 22 15 5 28 9 6 28 7 16 13 13 16 24 6 5 28 22 20,Student_ms,Lower Working Class,-19,8,1,0
28608,60648,coraal/DCA_audio_2018.10.06/DCA_se1_ag1_f_05_1.wav,IT WAS THESE PEOPLE WHO UM LIVE NEXT DOOR TO US,DCA_se1_ag1_f_05,1372.5972,1375.8068,3.2096000000001363,africa_american,0,47,10 21 28 24 2 20 28 21 9 6 20 6 28 17 6 16 17 13 6 28 24 9 16 28 22 14 28 13 10 23 6 28 15 6 25 21 28 5 16 16 19 28 21 16 28 22 20,Student_ms,Lower Working Class,-19,8,1,0
28610,11058,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_m_05_1.wav,AND WE WOULD DO HIS HOMEWORK,DCA_se2_ag1_m_05,1582.3521,1583.7912,1.4390999999998255,africa_american,0,28,2 15 5 28 24 6 28 24 16 22 13 5 28 5 16 28 9 10 20 28 9 16 14 6 24 16 19 12,High School,Upper Working Class,-19,3,5,0
28615,2935,coraal/DCA_audio_2018.10.06/DCA_se3_ag1_m_04_1.wav,IT ENDED UP WITH ME BEING THE LEADER,DCA_se3_ag1_m_04,1559.5885,1561.089,1.5004999999998745,africa_american,0,36,10 21 28 6 15 5 6 5 28 22 17 28 24 10 21 9 28 14 6 28 3 6 10 15 8 28 21 9 6 28 13 6 2 5 6 19,Student_hs,Lower Middle Class,-19,7,0,0
28618,39655,coraal/DCA_audio_2018.10.06/DCA_se1_ag1_m_01_1.wav,IT WAS SAMMY DAVIS JUNIOR AND,DCA_se1_ag1_m_01,192.3911,194.1257,1.7346000000000004,africa_american,0,29,10 21 28 24 2 20 28 20 2 14 14 26 28 5 2 23 10 20 28 11 22 15 10 16 19 28 2 15 5,Student_ms,Lower Working Class,-19,8,1,0
28630,24189,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_f_01_1.wav,MARINE BOY HIT HIS HEAD ON THIS ROCK,DCA_se2_ag1_f_01,522.0369,523.7986,1.7617000000000191,africa_american,0,36,14 2 19 10 15 6 28 3 16 26 28 9 10 21 28 9 10 20 28 9 6 2 5 28 16 15 28 21 9 10 20 28 19 16 4 12,Student_ms,Upper Working Class,-19,8,5,0
28635,61151,coraal/DCA_audio_2018.10.06/DCA_se3_ag3_f_01_1.wav,UH PEOPLE WHO WERE HIDING,DCA_se3_ag3_f_01,39.3209,40.9004,1.579499999999996,africa_american,0,25,22 9 28 17 6 16 17 13 6 28 24 9 16 28 24 6 19 6 28 9 10 5 10 15 8,High School,Lower Middle Class,30 to 50,3,0,2
28638,17802,coraal/DCA_audio_2018.10.06/DCA_se1_ag4_m_01_1.wav,THIS GUY'S NO HELP TO ME,DCA_se1_ag4_m_01,213.2368,214.6932,1.456400000000002,africa_american,0,24,21 9 10 20 28 8 22 26 1 20 28 15 16 28 9 6 13 17 28 21 16 28 14 6,Some High School,Lower Working Class,51+,5,1,3
28647,2757,coraal/DCA_audio_2018.10.06/DCA_se2_ag4_f_01_1.wav,BECAUSE I WANTED A DOLL,DCA_se2_ag4_f_01,1064.2058,1066.1461,1.94029999999998,africa_american,0,23,3 6 4 2 22 20 6 28 10 28 24 2 15 21 6 5 28 2 28 5 16 13 13,Elementary School,Upper Working Class,51+,1,5,3
28649,59371,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_m_03_1.wav,HE'D BE ALRIGHT WITH US SEE BECAUSE YOU KNOW WE DON'T GO AROUND,DCA_se2_ag1_m_03,1196.806,1199.5186,2.7126000000000663,africa_american,0,63,9 6 1 5 28 3 6 28 2 13 19 10 8 9 21 28 24 10 21 9 28 22 20 28 20 6 6 28 3 6 4 2 22 20 6 28 26 16 22 28 12 15 16 24 28 24 6 28 5 16 15 1 21 28 8 16 28 2 19 16 22 15 5,Student_hs,Upper Working Class,-19,7,5,0
28658,13412,coraal/DCA_audio_2018.10.06/DCA_se3_ag1_f_06_1.wav,AND NOBODY REALLY LIKED HER SHE WAS FIRED AT THE END OF THE YEAR,DCA_se3_ag1_f_06,784.7539,787.9941,3.240199999999959,africa_american,0,64,2 15 5 28 15 16 3 16 5 26 28 19 6 2 13 13 26 28 13 10 12 6 5 28 9 6 19 28 20 9 6 28 24 2 20 28 7 10 19 6 5 28 2 21 28 21 9 6 28 6 15 5 28 16 7 28 21 9 6 28 26 6 2 19,Student_hs,Upper Class,-19,7,3,0
28659,43462,coraal/DCA_audio_2018.10.06/DCA_se1_ag1_f_04_1.wav,GO VISIT MY FRIENDS AND LIKE,DCA_se1_ag1_f_04,2319.399,2321.336,1.9370000000003529,africa_american,0,28,8 16 28 23 10 20 10 21 28 14 26 28 7 19 10 6 15 5 20 28 2 15 5 28 13 10 12 6,Student_ms,Lower Working Class,-19,8,1,0
28662,15845,coraal/DCA_audio_2018.10.06/DCA_se2_ag2_m_02_1.wav,WAS WHEN I WAS IN ELEMENTARY SCHOOL WITH THIS BOY,DCA_se2_ag2_m_02,2655.782,2658.0109,2.228900000000067,africa_american,0,49,24 2 20 28 24 9 6 15 28 10 28 24 2 20 28 10 15 28 6 13 6 14 6 15 21 2 19 26 28 20 4 9 16 16 13 28 24 10 21 9 28 21 9 10 20 28 3 16 26,High School,Upper Working Class,20 to 29,3,5,1
28663,52197,coraal/DCA_audio_2018.10.06/DCA_se3_ag1_f_02_1.wav,WE PUT UM BOWS ALL AROUND THE WINDOWS,DCA_se3_ag1_f_02,1042.6895,1045.6411,2.9516000000000986,africa_american,0,37,24 6 28 17 22 21 28 22 14 28 3 16 24 20 28 2 13 13 28 2 19 16 22 15 5 28 21 9 6 28 24 10 15 5 16 24 20,Student_ms,Lower Middle Class,-19,8,0,0
28670,49555,coraal/DCA_audio_2018.10.06/DCA_se3_ag1_m_03_1.wav,AND I'LL BE USING IT UH,DCA_se3_ag1_m_03,1837.0144,1838.3354,1.3209999999999131,africa_american,0,23,2 15 5 28 10 1 13 13 28 3 6 28 22 20 10 15 8 28 10 21 28 22 9,Student_hs,Upper Class,-19,7,3,0
28673,48412,coraal/DCA_audio_2018.10.06/DCA_se2_ag3_m_01_1.wav,YOU HAD TO BE STRONG,DCA_se2_ag3_m_01,1110.2086,1111.5908,1.3822000000000116,africa_american,0,20,26 16 22 28 9 2 5 28 21 16 28 3 6 28 20 21 19 16 15 8,Some High School,Upper Working Class,30 to 50,5,5,2
28682,19389,coraal/DCA_audio_2018.10.06/DCA_se1_ag2_m_01_1.wav,I SAY THIS KIND OF STUFF WE COULD TALK OVER,DCA_se1_ag2_m_01,1797.4904,1799.7471,2.2567000000001367,africa_american,0,43,10 28 20 2 26 28 21 9 10 20 28 12 10 15 5 28 16 7 28 20 21 22 7 7 28 24 6 28 4 16 22 13 5 28 21 2 13 12 28 16 23 6 19,Some High School,Lower Working Class,20 to 29,5,1,1
28684,48263,coraal/DCA_audio_2018.10.06/DCA_se3_ag1_f_06_1.wav,AND THE GIRLS I DON'T KNOW WE'D READ STORIES TO THEM,DCA_se3_ag1_f_06,1232.8179,1235.5737,2.7557999999999083,africa_american,0,52,2 15 5 28 21 9 6 28 8 10 19 13 20 28 10 28 5 16 15 1 21 28 12 15 16 24 28 24 6 1 5 28 19 6 2 5 28 20 21 16 19 10 6 20 28 21 16 28 21 9 6 14,Student_hs,Upper Class,-19,7,3,0
28686,42047,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_m_02_1.wav,HE WAS A NICE GUY TOO YOU KNOW HE WASN'T,DCA_se2_ag1_m_02,1422.3096,1424.3183,2.0086999999998625,africa_american,0,40,9 6 28 24 2 20 28 2 28 15 10 4 6 28 8 22 26 28 21 16 16 28 26 16 22 28 12 15 16 24 28 9 6 28 24 2 20 15 1 21,Student_hs,Upper Working Class,-19,7,5,0
28697,14395,coraal/DCA_audio_2018.10.06/DCA_se3_ag2_f_04_1.wav,ALL THE FOOD WE HAD FOR CHRISTMAS,DCA_se3_ag2_f_04,1504.9428,1507.6766,2.7337999999999743,africa_american,0,33,2 13 13 28 21 9 6 28 7 16 16 5 28 24 6 28 9 2 5 28 7 16 19 28 4 9 19 10 20 21 14 2 20,College,Lower Middle Class,20 to 29,0,0,1
28707,30500,coraal/DCA_audio_2018.10.06/DCA_se3_ag3_m_01_1.wav,AND WE WENT AROUND TOGETHER FOR,DCA_se3_ag3_m_01,2166.3053,2168.0544,1.7490999999999983,africa_american,0,31,2 15 5 28 24 6 28 24 6 15 21 28 2 19 16 22 15 5 28 21 16 8 6 21 9 6 19 28 7 16 19,Some College,Upper Middle Class,30 to 50,4,4,2
28714,48394,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_m_05_1.wav,AND PINCH HIM AND EVERYTHING AND THE BIGGER GUYS WOULD LAUGH YOU KNOW,DCA_se2_ag1_m_05,1703.6431,1706.5151,2.8720000000000714,africa_american,0,69,2 15 5 28 17 10 15 4 9 28 9 10 14 28 2 15 5 28 6 23 6 19 26 21 9 10 15 8 28 2 15 5 28 21 9 6 28 3 10 8 8 6 19 28 8 22 26 20 28 24 16 22 13 5 28 13 2 22 8 9 28 26 16 22 28 12 15 16 24,High School,Upper Working Class,-19,3,5,0
28725,31490,coraal/DCA_audio_2018.10.06/DCA_se1_ag4_m_01_1.wav,YOU HAVE TO FACE DANGERS IN THE SERVICE ANYWAY SO,DCA_se1_ag4_m_01,1020.2912,1023.0588,2.7676000000000163,africa_american,0,49,26 16 22 28 9 2 23 6 28 21 16 28 7 2 4 6 28 5 2 15 8 6 19 20 28 10 15 28 21 9 6 28 20 6 19 23 10 4 6 28 2 15 26 24 2 26 28 20 16,Some High School,Lower Working Class,51+,5,1,3
28726,21371,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_f_05_1.wav,AROUND FOUR OR FIVE WEEKS,DCA_se2_ag1_f_05,566.1359,568.0245,1.8885999999999967,africa_american,0,25,2 19 16 22 15 5 28 7 16 22 19 28 16 19 28 7 10 23 6 28 24 6 6 12 20,Student_ms,Upper Working Class,-19,8,5,0
28731,7628,coraal/DCA_audio_2018.10.06/DCA_se1_ag2_f_01_1.wav,AND SHE FELL MADLY IN LOVE WITH THE SON OF THE COAL MINER,DCA_se1_ag2_f_01,160.4815,164.0371,3.5555999999999983,africa_american,0,57,2 15 5 28 20 9 6 28 7 6 13 13 28 14 2 5 13 26 28 10 15 28 13 16 23 6 28 24 10 21 9 28 21 9 6 28 20 16 15 28 16 7 28 21 9 6 28 4 16 2 13 28 14 10 15 6 19,High School,Lower Working Class,20 to 29,3,1,1
28732,7958,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_m_03_1.wav,WATCHING HIS MEN AND THINGS,DCA_se2_ag1_m_03,1313.1269,1314.5444,1.4175000000000182,africa_american,0,27,24 2 21 4 9 10 15 8 28 9 10 20 28 14 6 15 28 2 15 5 28 21 9 10 15 8 20,Student_hs,Upper Working Class,-19,7,5,0
28735,60593,coraal/DCA_audio_2018.10.06/DCA_se3_ag2_f_02_1.wav,UH YOU TAKE A KNIFE AND YOU THROW IT INTO THE GROUND,DCA_se3_ag2_f_02,36.4355,39.3522,2.9167000000000067,africa_american,0,52,22 9 28 26 16 22 28 21 2 12 6 28 2 28 12 15 10 7 6 28 2 15 5 28 26 16 22 28 21 9 19 16 24 28 10 21 28 10 15 21 16 28 21 9 6 28 8 19 16 22 15 5,Some College,Lower Middle Class,20 to 29,4,0,1
28736,9688,coraal/DCA_audio_2018.10.06/DCA_se3_ag1_f_06_1.wav,WE PLAY TENNIS DURING THE SUMMER,DCA_se3_ag1_f_06,1391.4187,1393.0926,1.6739000000000033,africa_american,0,32,24 6 28 17 13 2 26 28 21 6 15 15 10 20 28 5 22 19 10 15 8 28 21 9 6 28 20 22 14 14 6 19,Student_hs,Upper Class,-19,7,3,0
28739,44699,coraal/DCA_audio_2018.10.06/DCA_se2_ag2_m_02_1.wav,YOU TELL HIM COME OVER GO WITH YOU SOMEWHERE AT NIGHT,DCA_se2_ag2_m_02,447.0725,449.0078,1.9352999999999845,africa_american,0,53,26 16 22 28 21 6 13 13 28 9 10 14 28 4 16 14 6 28 16 23 6 19 28 8 16 28 24 10 21 9 28 26 16 22 28 20 16 14 6 24 9 6 19 6 28 2 21 28 15 10 8 9 21,High School,Upper Working Class,20 to 29,3,5,1
28750,1380,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_f_01_1.wav,THEY BROUGHT CANDY AND STUFF TO SCHOOL AND YOU DON'T SUPPOSED TO BRING CANDY,DCA_se2_ag1_f_01,842.8428,846.5397,3.6969000000000287,africa_american,0,76,21 9 6 26 28 3 19 16 22 8 9 21 28 4 2 15 5 26 28 2 15 5 28 20 21 22 7 7 28 21 16 28 20 4 9 16 16 13 28 2 15 5 28 26 16 22 28 5 16 15 1 21 28 20 22 17 17 16 20 6 5 28 21 16 28 3 19 10 15 8 28 4 2 15 5 26,Student_ms,Upper Working Class,-19,8,5,0
28755,34613,coraal/DCA_audio_2018.10.06/DCA_se1_ag1_m_04_1.wav,HM AND EVERY TIME LIKE SOMEBODY GETS SOMETHING WRONG,DCA_se1_ag1_m_04,740.7271,742.4757,1.7486000000000104,africa_american,0,52,9 14 28 2 15 5 28 6 23 6 19 26 28 21 10 14 6 28 13 10 12 6 28 20 16 14 6 3 16 5 26 28 8 6 21 20 28 20 16 14 6 21 9 10 15 8 28 24 19 16 15 8,Student_ms,Lower Working Class,-19,8,1,0
28765,20410,coraal/DCA_audio_2018.10.06/DCA_se3_ag2_m_03_1.wav,CONCERNED WITH UH,DCA_se3_ag2_m_03,311.4201,312.8047,1.3846000000000345,africa_american,0,17,4 16 15 4 6 19 15 6 5 28 24 10 21 9 28 22 9,High School,Lower Middle Class,20 to 29,3,0,1
28778,45800,coraal/DCA_audio_2018.10.06/DCA_se3_ag1_m_03_1.wav,BECAUSE HE THOUGHT THAT HE WAS THE UH MURDERER,DCA_se3_ag1_m_03,654.2335,656.0772,1.8436999999998989,africa_american,0,46,3 6 4 2 22 20 6 28 9 6 28 21 9 16 22 8 9 21 28 21 9 2 21 28 9 6 28 24 2 20 28 21 9 6 28 22 9 28 14 22 19 5 6 19 6 19,Student_hs,Upper Class,-19,7,3,0
